,Gold,Crude Oil,Fed Funds Rate
2015-11-25,1070.5,43.040000915527344,0.12
2015-11-27,1056.199951171875,41.709999084472656,0.12
2015-11-30,1065.800048828125,41.650001525878906,0.08
2015-12-01,1063.800048828125,41.849998474121094,0.13
2015-12-02,1054.199951171875,39.939998626708984,0.13
2015-12-03,1061.699951171875,41.08000183105469,0.13
2015-12-04,1084.5,39.970001220703125,0.13
2015-12-07,1076.4000244140625,37.650001525878906,0.13
2015-12-08,1076.300048828125,37.5099983215332,0.13
2015-12-09,1077.5999755859375,37.15999984741211,0.14
2015-12-10,1073.0999755859375,36.7599983215332,0.14
2015-12-11,1076.9000244140625,35.619998931884766,0.14
2015-12-14,1064.699951171875,36.310001373291016,0.15
2015-12-15,1062.9000244140625,37.349998474121094,0.15
2015-12-16,1078.0,35.52000045776367,0.15
2015-12-17,1050.800048828125,34.95000076293945,0.37
2015-12-18,1066.199951171875,34.72999954223633,0.37
2015-12-21,1081.9000244140625,34.7400016784668,0.36
2015-12-22,1074.800048828125,36.13999938964844,0.36
2015-12-23,1069.4000244140625,37.5,0.36
2015-12-24,1077.199951171875,38.099998474121094,0.36
2015-12-28,1070.5,36.810001373291016,0.36
2015-12-29,1077.5,37.869998931884766,0.36
2015-12-30,1060.0999755859375,36.599998474121094,0.35
2015-12-31,1060.300048828125,37.040000915527344,0.2
2016-01-04,1075.0999755859375,36.7599983215332,0.36
2016-01-05,1078.4000244140625,35.970001220703125,0.36
2016-01-06,1091.9000244140625,33.970001220703125,0.36
2016-01-07,1107.699951171875,33.27000045776367,0.36
2016-01-08,1097.800048828125,33.15999984741211,0.36
2016-01-11,1096.5,31.40999984741211,0.36
2016-01-12,1085.5999755859375,30.440000534057617,0.36
2016-01-13,1087.5,30.479999542236328,0.36
2016-01-14,1073.9000244140625,31.200000762939453,0.36
2016-01-15,1091.5,29.420000076293945,0.36
2016-01-19,1089.9000244140625,28.459999084472656,0.36
2016-01-20,1107.0999755859375,26.549999237060547,0.37
2016-01-21,1099.0999755859375,29.530000686645508,0.37
2016-01-22,1097.199951171875,32.189998626708984,0.38
2016-01-25,1106.199951171875,30.34000015258789,0.38
2016-01-26,1121.699951171875,31.450000762939453,0.38
2016-01-27,1116.0999755859375,32.29999923706055,0.38
2016-01-28,1115.5999755859375,33.220001220703125,0.38
2016-01-29,1116.4000244140625,33.619998931884766,0.29
2016-02-01,1127.9000244140625,31.6200008392334,0.38
2016-02-02,1127.300048828125,29.8799991607666,0.38
2016-02-03,1141.300048828125,32.279998779296875,0.38
2016-02-04,1157.5999755859375,31.719999313354492,0.38
2016-02-05,1157.800048828125,30.889999389648438,0.38
2016-02-08,1197.9000244140625,29.690000534057617,0.38
2016-02-09,1198.699951171875,27.940000534057617,0.38
2016-02-10,1194.699951171875,27.450000762939453,0.38
2016-02-11,1247.9000244140625,26.209999084472656,0.38
2016-02-12,1239.0999755859375,29.440000534057617,0.38
2016-02-16,1207.9000244140625,29.040000915527344,0.38
2016-02-17,1211.0999755859375,30.65999984741211,0.37
2016-02-18,1226.0999755859375,30.770000457763672,0.38
2016-02-19,1230.4000244140625,29.639999389648438,0.38
2016-02-22,1209.5,31.479999542236328,0.38
2016-02-23,1222.300048828125,31.8700008392334,0.38
2016-02-24,1238.699951171875,32.150001525878906,0.38
2016-02-25,1238.199951171875,33.06999969482422,0.37
2016-02-26,1219.800048828125,32.779998779296875,0.37
2016-02-29,1233.9000244140625,33.75,0.29
2016-03-01,1230.300048828125,34.400001525878906,0.36
2016-03-02,1241.0999755859375,34.65999984741211,0.37
2016-03-03,1257.4000244140625,34.56999969482422,0.37
2016-03-04,1269.9000244140625,35.91999816894531,0.36
2016-03-07,1263.199951171875,37.900001525878906,0.36
2016-03-08,1262.0999755859375,36.5,0.36
2016-03-09,1256.5999755859375,38.290000915527344,0.36
2016-03-10,1272.0,37.84000015258789,0.36
2016-03-11,1258.699951171875,38.5,0.36
2016-03-14,1244.4000244140625,37.18000030517578,0.36
2016-03-15,1230.4000244140625,36.34000015258789,0.37
2016-03-16,1229.300048828125,38.459999084472656,0.37
2016-03-17,1264.5,40.20000076293945,0.37
2016-03-18,1253.800048828125,39.439998626708984,0.37
2016-03-21,1243.800048828125,39.90999984741211,0.37
2016-03-22,1248.199951171875,41.45000076293945,0.37
2016-03-23,1223.699951171875,39.790000915527344,0.37
2016-03-24,1221.4000244140625,39.459999084472656,0.37
2016-03-28,1219.9000244140625,39.38999938964844,0.37
2016-03-29,1235.5999755859375,38.279998779296875,0.37
2016-03-30,1226.9000244140625,38.31999969482422,0.37
2016-03-31,1234.199951171875,38.34000015258789,0.25
2016-04-01,1222.199951171875,36.790000915527344,0.37
2016-04-04,1218.0,35.70000076293945,0.37
2016-04-05,1228.4000244140625,35.88999938964844,0.37
2016-04-06,1222.5,37.75,0.37
2016-04-07,1236.199951171875,37.2599983215332,0.37
2016-04-08,1242.5,39.720001220703125,0.37
2016-04-11,1256.699951171875,40.36000061035156,0.37
2016-04-12,1259.4000244140625,42.16999816894531,0.37
2016-04-13,1246.800048828125,41.7599983215332,0.37
2016-04-14,1225.0,41.5,0.37
2016-04-15,1233.0999755859375,40.36000061035156,0.37
2016-04-18,1233.5999755859375,39.779998779296875,0.37
2016-04-19,1253.0,41.08000183105469,0.37
2016-04-20,1253.199951171875,42.630001068115234,0.37
2016-04-21,1249.0,43.18000030517578,0.37
2016-04-22,1228.699951171875,43.72999954223633,0.37
2016-04-25,1238.9000244140625,42.63999938964844,0.37
2016-04-26,1242.199951171875,44.040000915527344,0.37
2016-04-27,1249.199951171875,45.33000183105469,0.37
2016-04-28,1265.5,46.029998779296875,0.37
2016-04-29,1289.199951171875,45.91999816894531,0.3
2016-05-02,1294.699951171875,44.779998779296875,0.37
2016-05-03,1290.699951171875,43.650001525878906,0.37
2016-05-04,1273.300048828125,43.779998779296875,0.37
2016-05-05,1271.4000244140625,44.31999969482422,0.37
2016-05-06,1292.9000244140625,44.65999984741211,0.37
2016-05-09,1265.5999755859375,43.439998626708984,0.37
2016-05-10,1263.9000244140625,44.65999984741211,0.37
2016-05-11,1274.5999755859375,46.22999954223633,0.37
2016-05-12,1270.300048828125,46.70000076293945,0.37
2016-05-13,1271.9000244140625,46.209999084472656,0.37
2016-05-16,1273.4000244140625,47.720001220703125,0.37
2016-05-17,1276.199951171875,48.310001373291016,0.37
2016-05-18,1273.699951171875,48.189998626708984,0.37
2016-05-19,1254.199951171875,48.15999984741211,0.37
2016-05-20,1252.4000244140625,47.75,0.37
2016-05-23,1251.0999755859375,48.08000183105469,0.37
2016-05-24,1228.9000244140625,48.619998931884766,0.37
2016-05-25,1223.5,49.560001373291016,0.37
2016-05-26,1220.0999755859375,49.47999954223633,0.37
2016-05-27,1213.800048828125,49.33000183105469,0.37
2016-05-31,1214.800048828125,49.099998474121094,0.29
2016-06-01,1211.9000244140625,49.0099983215332,0.37
2016-06-02,1209.800048828125,49.16999816894531,0.37
2016-06-03,1240.0999755859375,48.619998931884766,0.37
2016-06-06,1244.5999755859375,49.689998626708984,0.37
2016-06-07,1244.4000244140625,50.36000061035156,0.37
2016-06-08,1259.800048828125,51.22999954223633,0.37
2016-06-09,1270.199951171875,50.560001373291016,0.37
2016-06-10,1273.4000244140625,49.06999969482422,0.37
2016-06-13,1284.4000244140625,48.880001068115234,0.37
2016-06-14,1285.5999755859375,48.4900016784668,0.37
2016-06-15,1285.800048828125,48.0099983215332,0.37
2016-06-16,1296.0999755859375,46.209999084472656,0.38
2016-06-17,1292.5,47.97999954223633,0.38
2016-06-20,1290.0,49.369998931884766,0.38
2016-06-21,1270.5,48.849998474121094,0.38
2016-06-22,1268.0,49.130001068115234,0.38
2016-06-23,1261.199951171875,50.11000061035156,0.39
2016-06-24,1320.0,47.63999938964844,0.4
2016-06-27,1322.5,46.33000183105469,0.41
2016-06-28,1315.300048828125,47.849998474121094,0.41
2016-06-29,1323.9000244140625,49.880001068115234,0.41
2016-06-30,1318.4000244140625,48.33000183105469,0.3
2016-07-01,1336.699951171875,48.9900016784668,0.41
2016-07-05,1356.4000244140625,46.599998474121094,0.4
2016-07-06,1364.9000244140625,47.43000030517578,0.4
2016-07-07,1360.0999755859375,45.13999938964844,0.4
2016-07-08,1356.5999755859375,45.40999984741211,0.4
2016-07-11,1355.0,44.7599983215332,0.4
2016-07-12,1334.0999755859375,46.79999923706055,0.4
2016-07-13,1342.4000244140625,44.75,0.4
2016-07-14,1331.300048828125,45.68000030517578,0.4
2016-07-15,1326.5,45.95000076293945,0.4
2016-07-18,1328.4000244140625,45.2400016784668,0.4
2016-07-19,1331.5,44.650001525878906,0.4
2016-07-20,1318.800048828125,44.939998626708984,0.4
2016-07-21,1330.5,44.75,0.4
2016-07-22,1323.0999755859375,44.189998626708984,0.4
2016-07-25,1319.300048828125,43.130001068115234,0.4
2016-07-26,1320.699951171875,42.91999816894531,0.4
2016-07-27,1326.5999755859375,41.91999816894531,0.4
2016-07-28,1332.300048828125,41.13999938964844,0.4
2016-07-29,1349.0,41.599998474121094,0.3
2016-08-01,1351.4000244140625,40.060001373291016,0.4
2016-08-02,1364.4000244140625,39.5099983215332,0.4
2016-08-03,1356.0999755859375,40.83000183105469,0.4
2016-08-04,1358.800048828125,41.93000030517578,0.4
2016-08-05,1336.4000244140625,41.79999923706055,0.4
2016-08-08,1333.4000244140625,43.02000045776367,0.4
2016-08-09,1339.0,42.77000045776367,0.4
2016-08-10,1344.300048828125,41.709999084472656,0.4
2016-08-11,1342.5,43.4900016784668,0.4
2016-08-12,1335.800048828125,44.4900016784668,0.4
2016-08-15,1340.300048828125,45.7400016784668,0.4
2016-08-16,1350.5,46.58000183105469,0.4
2016-08-17,1342.699951171875,46.790000915527344,0.4
2016-08-18,1351.199951171875,48.220001220703125,0.4
2016-08-19,1340.4000244140625,48.52000045776367,0.4
2016-08-22,1337.699951171875,47.04999923706055,0.4
2016-08-23,1340.5999755859375,48.099998474121094,0.4
2016-08-24,1324.4000244140625,46.77000045776367,0.4
2016-08-25,1320.0999755859375,47.33000183105469,0.4
2016-08-26,1321.5,47.63999938964844,0.4
2016-08-29,1322.9000244140625,46.97999954223633,0.4
2016-08-30,1311.699951171875,46.349998474121094,0.4
2016-08-31,1306.9000244140625,44.70000076293945,0.3
2016-09-01,1312.199951171875,43.15999984741211,0.4
2016-09-02,1322.0999755859375,44.439998626708984,0.4
2016-09-06,1349.4000244140625,44.83000183105469,0.4
2016-09-07,1344.300048828125,45.5,0.4
2016-09-08,1336.800048828125,47.619998931884766,0.4
2016-09-09,1330.0999755859375,45.880001068115234,0.4
2016-09-12,1321.0,46.290000915527344,0.4
2016-09-13,1319.0,44.900001525878906,0.4
2016-09-14,1321.5,43.58000183105469,0.4
2016-09-15,1313.5,43.90999984741211,0.4
2016-09-16,1305.800048828125,43.029998779296875,0.4
2016-09-19,1313.5,43.29999923706055,0.4
2016-09-20,1313.699951171875,43.439998626708984,0.4
2016-09-21,1326.9000244140625,45.34000015258789,0.4
2016-09-22,1340.4000244140625,46.31999969482422,0.4
2016-09-23,1337.199951171875,44.47999954223633,0.4
2016-09-26,1339.699951171875,45.93000030517578,0.4
2016-09-27,1325.9000244140625,44.66999816894531,0.4
2016-09-28,1319.4000244140625,47.04999923706055,0.4
2016-09-29,1321.699951171875,47.83000183105469,0.4
2016-09-30,1313.300048828125,48.2400016784668,0.29
2016-10-03,1309.0,48.810001373291016,0.4
2016-10-04,1266.300048828125,48.689998626708984,0.4
2016-10-05,1265.199951171875,49.83000183105469,0.4
2016-10-06,1249.800048828125,50.439998626708984,0.4
2016-10-07,1248.9000244140625,49.810001373291016,0.4
2016-10-11,1253.0,50.790000915527344,0.41
2016-10-12,1251.0999755859375,50.18000030517578,0.41
2016-10-13,1255.0,50.439998626708984,0.41
2016-10-14,1253.0999755859375,50.349998474121094,0.41
2016-10-17,1254.4000244140625,49.939998626708984,0.41
2016-10-18,1260.800048828125,50.290000915527344,0.41
2016-10-19,1267.9000244140625,51.599998474121094,0.41
2016-10-20,1265.5999755859375,50.43000030517578,0.41
2016-10-21,1265.9000244140625,50.849998474121094,0.41
2016-10-24,1262.0,50.52000045776367,0.41
2016-10-25,1271.9000244140625,49.959999084472656,0.41
2016-10-26,1264.800048828125,49.18000030517578,0.41
2016-10-27,1267.9000244140625,49.720001220703125,0.41
2016-10-28,1275.5,48.70000076293945,0.41
2016-10-31,1271.5,46.86000061035156,0.31
2016-11-01,1286.4000244140625,46.66999816894531,0.41
2016-11-02,1306.800048828125,45.34000015258789,0.41
2016-11-03,1302.0999755859375,44.65999984741211,0.41
2016-11-04,1303.300048828125,44.06999969482422,0.41
2016-11-07,1278.300048828125,44.88999938964844,0.41
2016-11-08,1273.4000244140625,44.97999954223633,0.41
2016-11-09,1272.5999755859375,45.27000045776367,0.41
2016-11-10,1265.5,44.65999984741211,0.41
2016-11-14,1221.199951171875,43.31999969482422,0.41
2016-11-15,1224.0,45.810001373291016,0.41
2016-11-16,1223.4000244140625,45.56999969482422,0.41
2016-11-17,1216.5,45.41999816894531,0.41
2016-11-18,1208.5,45.689998626708984,0.41
2016-11-21,1209.5999755859375,47.4900016784668,0.41
2016-11-22,1211.0,48.029998779296875,0.41
2016-11-23,1189.0999755859375,47.959999084472656,0.41
2016-11-25,1178.199951171875,46.060001373291016,0.41
2016-11-28,1190.5999755859375,47.08000183105469,0.41
2016-11-29,1187.9000244140625,45.22999954223633,0.41
2016-11-30,1170.800048828125,49.439998626708984,0.31
2016-12-01,1166.9000244140625,51.060001373291016,0.41
2016-12-02,1175.0999755859375,51.68000030517578,0.41
2016-12-05,1174.0,51.790000915527344,0.41
2016-12-06,1167.5999755859375,50.93000030517578,0.41
2016-12-07,1175.0,49.77000045776367,0.41
2016-12-08,1169.800048828125,50.84000015258789,0.41
2016-12-09,1159.4000244140625,51.5,0.41
2016-12-12,1163.5,52.83000183105469,0.41
2016-12-13,1156.699951171875,52.97999954223633,0.41
2016-12-14,1161.300048828125,51.040000915527344,0.41
2016-12-15,1127.800048828125,50.900001525878906,0.66
2016-12-16,1135.300048828125,51.900001525878906,0.66
2016-12-19,1140.5,52.119998931884766,0.66
2016-12-20,1131.5,52.22999954223633,0.66
2016-12-21,1131.0999755859375,52.4900016784668,0.66
2016-12-22,1128.800048828125,52.95000076293945,0.66
2016-12-23,1131.9000244140625,53.02000045776367,0.66
2016-12-27,1137.300048828125,53.900001525878906,0.66
2016-12-28,1139.4000244140625,54.060001373291016,0.66
2016-12-29,1156.4000244140625,53.77000045776367,0.66
2016-12-30,1150.0,53.720001220703125,0.55
2017-01-03,1160.4000244140625,52.33000183105469,0.66
2017-01-04,1163.800048828125,53.2599983215332,0.66
2017-01-05,1179.699951171875,53.7599983215332,0.66
2017-01-06,1171.9000244140625,53.9900016784668,0.66
2017-01-09,1183.5,51.959999084472656,0.66
2017-01-10,1184.199951171875,50.81999969482422,0.66
2017-01-11,1195.5999755859375,52.25,0.66
2017-01-12,1198.9000244140625,53.0099983215332,0.66
2017-01-13,1195.300048828125,52.369998931884766,0.66
2017-01-17,1212.0,52.47999954223633,0.66
2017-01-18,1211.300048828125,51.08000183105469,0.66
2017-01-19,1200.9000244140625,51.369998931884766,0.66
2017-01-20,1204.300048828125,52.41999816894531,0.66
2017-01-23,1215.0,52.75,0.66
2017-01-24,1210.300048828125,53.18000030517578,0.66
2017-01-25,1197.300048828125,52.75,0.66
2017-01-26,1189.5,53.779998779296875,0.66
2017-01-27,1188.0999755859375,53.16999816894531,0.66
2017-01-30,1193.199951171875,52.630001068115234,0.66
