Weights,PortfolioStandardDeviation,PortfolioReturn,PortfolioSharpeRatio,WeightsStringRepresent
"[0.0, 0.0, 0.2, 0.1, 0.7000000000000001]",0.04650124019441944,0.498936234388385,10.299429270831826,"Weights: 0.0, 0.0, 0.2, 0.1, 0.7000000000000001"
"[0.0, 0.0, 0.2, 0.15, 0.65]",0.0462296497731721,0.49672018918904826,10.312000880995157,"Weights: 0.0, 0.0, 0.2, 0.15, 0.65"
"[0.0, 0.0, 0.2, 0.2, 0.6000000000000001]",0.04602672871020917,0.49450414398971143,10.309317157368644,"Weights: 0.0, 0.0, 0.2, 0.2, 0.6000000000000001"
"[0.0, 0.0, 0.2, 0.25, 0.55]",0.045893387894752495,0.4922880987903746,10.290983526286508,"Weights: 0.0, 0.0, 0.2, 0.25, 0.55"
"[0.0, 0.0, 0.2, 0.3, 0.5]",0.04583023465175818,0.4900720535910379,10.256810971248312,"Weights: 0.0, 0.0, 0.2, 0.3, 0.5"
"[0.0, 0.0, 0.2, 0.35, 0.45000000000000007]",0.04583755908743612,0.48785600839170107,10.206826404068675,"Weights: 0.0, 0.0, 0.2, 0.35, 0.45000000000000007"
"[0.0, 0.0, 0.2, 0.4, 0.4]",0.045915327473896546,0.48563996319236435,10.141275012294896,"Weights: 0.0, 0.0, 0.2, 0.4, 0.4"
"[0.0, 0.0, 0.2, 0.45, 0.35000000000000003]",0.04606318302134689,0.48342391799302753,10.06061430401509,"Weights: 0.0, 0.0, 0.2, 0.45, 0.35000000000000003"
"[0.0, 0.0, 0.2, 0.5, 0.30000000000000004]",0.04628045399694154,0.4812078727936907,9.96550018338562,"Weights: 0.0, 0.0, 0.2, 0.5, 0.30000000000000004"
"[0.0, 0.0, 0.2, 0.55, 0.25]",0.04656616876392048,0.47899182759435394,9.856765969331393,"Weights: 0.0, 0.0, 0.2, 0.55, 0.25"
"[0.0, 0.0, 0.2, 0.6, 0.20000000000000007]",0.046919076968955864,0.4767757823950172,9.735395747389578,"Weights: 0.0, 0.0, 0.2, 0.6, 0.20000000000000007"
"[0.0, 0.0, 0.2, 0.65, 0.15000000000000002]",0.04733767582982571,0.4745597371956804,9.602493769017684,"Weights: 0.0, 0.0, 0.2, 0.65, 0.15000000000000002"
"[0.0, 0.0, 0.2, 0.7, 0.10000000000000009]",0.04782024029009586,0.47234369199634363,9.459251757252867,"Weights: 0.0, 0.0, 0.2, 0.7, 0.10000000000000009"
"[0.0, 0.0, 0.2, 0.75, 0.050000000000000044]",0.04836485572104322,0.47012764679700686,9.30691594312271,"Weights: 0.0, 0.0, 0.2, 0.75, 0.050000000000000044"
"[0.0, 0.0, 0.2, 0.8, 0.0]",0.04896945186046223,0.46791160159767003,9.146755468572282,"Weights: 0.0, 0.0, 0.2, 0.8, 0.0"
"[0.0, 0.0, 0.25, 0.0, 0.75]",0.04655414848227764,0.5284380339389996,10.921433438580735,"Weights: 0.0, 0.0, 0.25, 0.0, 0.75"
"[0.0, 0.0, 0.25, 0.05, 0.7]",0.046173754950056406,0.5262219887396629,10.96341394125765,"Weights: 0.0, 0.0, 0.25, 0.05, 0.7"
"[0.0, 0.0, 0.25, 0.1, 0.65]",0.04586073059326186,0.5240059435403261,10.989923994241334,"Weights: 0.0, 0.0, 0.25, 0.1, 0.65"
"[0.0, 0.0, 0.25, 0.15, 0.6]",0.045616462313397436,0.5217898983409892,11.000193195464323,"Weights: 0.0, 0.0, 0.25, 0.15, 0.6"
"[0.0, 0.0, 0.25, 0.2, 0.55]",0.04544205889386455,0.5195738531416525,10.993644770992175,"Weights: 0.0, 0.0, 0.25, 0.2, 0.55"
"[0.0, 0.0, 0.25, 0.25, 0.5]",0.045338326591519436,0.5173578079423157,10.969919830154181,"Weights: 0.0, 0.0, 0.25, 0.25, 0.5"
"[0.0, 0.0, 0.25, 0.3, 0.45]",0.04530575083592682,0.515141762742979,10.928894314898729,"Weights: 0.0, 0.0, 0.25, 0.3, 0.45"
"[0.0, 0.0, 0.25, 0.35, 0.4]",0.04534448498524234,0.5129257175436421,10.870687310795745,"Weights: 0.0, 0.0, 0.25, 0.35, 0.4"
"[0.0, 0.0, 0.25, 0.4, 0.35]",0.045454346738553315,0.5107096723443053,10.795659987520992,"Weights: 0.0, 0.0, 0.25, 0.4, 0.35"
"[0.0, 0.0, 0.25, 0.45, 0.3]",0.04563482239871628,0.5084936271449686,10.704405133363903,"Weights: 0.0, 0.0, 0.25, 0.45, 0.3"
"[0.0, 0.0, 0.25, 0.5, 0.25]",0.04588507875527841,0.5062775819456319,10.597727957254355,"Weights: 0.0, 0.0, 0.25, 0.5, 0.25"
"[0.0, 0.0, 0.25, 0.55, 0.19999999999999996]",0.0462039819547602,0.5040615367462951,10.476619465834249,"Weights: 0.0, 0.0, 0.25, 0.55, 0.19999999999999996"
